2024-10-05 12:29:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13912, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-05 12:29:16 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-05 14:20:16 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-05 14:20:17 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14036, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-05 14:20:17 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-05 15:44:57 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-05 15:44:58 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19488, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-05 15:44:58 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-05 20:57:00 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-05 20:57:01 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8404, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-05 20:57:01 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-07 12:35:33 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-07 12:35:33 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll" is not a valid PE image
2024-10-07 12:35:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 19064, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-07 12:35:38 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-07 13:46:58 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-07 13:47:13 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7984, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-07 13:47:13 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 11:48:47 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 11:48:48 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7496, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 11:48:48 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 11:53:45 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 11:53:47 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15420, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-08 11:53:47 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v6 BE Disabled.dll'

2024-10-08 12:54:28 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-08 12:54:29 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8272, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
